"Online payments BM","Płatności online BM"
"Online payments BM (PLN)","Płatności online BM (PLN)"
"Online payments BM (EUR)","Płatności online BM (EUR)"
"Online payments BM (GBP)","Płatności online BM (GBP)"
"Online payments BM (USD)","Płatności online BM (USD)"
"Online payments BM (CZK)","Płatności online BM (CZK)"
"You will be redirected to the Blue Media secure service payment after submitting the order.","Po złożeniu zamówienia zostaniesz przekierowany do bezpiecznego serwisu płatności Blue Media."
"Test mode","Tryb testowy"
"Service partner ID (PLN)","Identyfikator serwisu partnera (PLN)"
"Shared key (PLN)","Klucz współdzielony (PLN)"
"Status waiting for payment", "Status oczekiwania na płatność"
"Status accepted payment", "Status prawidłowej płatności"
"Status error payment", "Status nieprawidłowej płatności"
"Make invoice after accepted payment", "Generuj fakturę po potwierdzeniu płatności"
"Automatic payments", "Płatności automatyczne (PBC)"
"Card number", "Numer karty"
"Expiration date", "Data ważności"
"Cart type", "Rodzaj katy"
"DELETE", "USUŃ"
"Saved payment cards", "Zapisane karty"
"Saved Payment Cards", "Zapisane Karty"
"No saved cards", "Brak zapisanych kart"
"Show Gateway Logo", "Pokaż logo kanałów płatności"
"Gateway Selection", "Wybór kanałów płatności"
"Enabled", "Moduł aktywny"
"Iframe Payment", "Płatność w Iframe"
"Select payment method:","Wybierz sposób płatności:"
"Unchangable statuses","Niezmienialne statusy"
"Add jQuery to order process","Dodaj jQuery do procesu zamówienia"
"In most stores, the option should be disabled.","W wiekszości sklepów opcja powinna być wyłączona."
"cURL Payment","Przedtransakcja"
"Generating short link to payment.","Generowanie krótkiego linku do płatności w banku."
"Payment inside iFrame without leaving store site. Applies to card and automatic payment.","Płatność w iFrame bez opuszczenie strony sklepu. Dotyczy płatności kartą oraz płatności automatycznych."
"Contact Blue Media before enabling this option. It requires enabled Gateway Selection.","Przed uruchomieniem tej opcji skontaktuj się z Blue Media. Wymagane włączenie opcji Wybór kanałów płatności w sklepie"
"Payment description","Opis płatności"
"Visible in order process after selecting BM payment.","Treść widoczna w procesie zamawiania po wybraniu płatności BM."
"Store ID, eg. 12345","Identyfikator sklepu, np. 12345"
"Alphanumeric code","Kod alfanumeryczny"
"Select card or add new:","Wybierz kartę lub dodaj nową:"
"Add new card","Dodaj nową kartę"
"Card","Karta"
"Thank you for placing the order","Dziękujemy za złożenie zamówienia"
"You'll get the e-mail with order confirmation, details of your order and a link to track its progess.","Otrzymasz e-mail z potwierdzeniem zamówienia wraz ze szczegółami dotyczącymi Twojego zamówienia i linkiem do śledzenia jego postępów."
"Continue shopping","Kontynuuj zakupy"
"Automatic payment BM","Płatność automatyczna BM"
